date,ticker,exchange,simple_return,band,tolerance,excess,next_day_return,category
2020-05-19,VPB,HOSE,0.0993657754329324,0.07,0.005,0.0293657754329324,0.0,STALE_REPEAT_NEXT_DAY
2025-05-15,VPB,HOSE,0.0988371159050613,0.07,0.005,0.0288371159050613,-0.018518456192311294,PERSISTS_LIKELY_CORP_ACTION
2021-02-17,TCB,HOSE,0.0971428449271227,0.07,0.005,0.0271428449271227,0.013020889148974035,PERSISTS_LIKELY_CORP_ACTION
2025-06-16,GAS,HOSE,0.097133726162601,0.07,0.005,0.027133726162601,0.0,STALE_REPEAT_NEXT_DAY
2021-02-17,SSI,HOSE,0.0964052678831575,0.07,0.005,0.0264052678831575,-0.007451562089503483,PERSISTS_LIKELY_CORP_ACTION
2025-08-25,TCB,HOSE,-0.0962695590218545,0.07,0.005,0.0262695590218545,0.0,STALE_REPEAT_NEXT_DAY
2021-07-09,HPG,HOSE,-0.0956022540812331,0.07,0.005,0.0256022540812331,0.0,STALE_REPEAT_NEXT_DAY
2019-07-17,VCB,HOSE,0.0948275945318717,0.07,0.005,0.0248275945318717,0.0026246721264744366,PERSISTS_LIKELY_CORP_ACTION
2025-10-20,HDB,HOSE,-0.0943113878038708,0.07,0.005,0.0243113878038708,0.0,STALE_REPEAT_NEXT_DAY
2019-12-06,MSN,HOSE,-0.0942029340544675,0.07,0.005,0.0242029340544675,-0.031999882545985736,PERSISTS_LIKELY_CORP_ACTION
2025-11-03,VRE,HOSE,-0.0939306483391078,0.07,0.005,0.0239306483391077,0.06858051561713174,SPIKE_REVERSES_AMBIGUOUS
2025-09-29,VIC,HOSE,0.0936708860759494,0.07,0.005,0.0236708860759494,0.0,STALE_REPEAT_NEXT_DAY
2021-02-17,FPT,HOSE,0.0925668207340362,0.07,0.005,0.0225668207340362,0.003850975246364019,PERSISTS_LIKELY_CORP_ACTION
2021-07-09,SSI,HOSE,-0.0915371196471287,0.07,0.005,0.0215371196471287,0.0,STALE_REPEAT_NEXT_DAY
2025-10-20,TPB,HOSE,-0.0911392126412027,0.07,0.005,0.0211392126412027,0.0,STALE_REPEAT_NEXT_DAY
2025-10-20,CTG,HOSE,-0.0910780052742189,0.07,0.005,0.0210780052742189,0.0,STALE_REPEAT_NEXT_DAY
2018-01-25,SSI,HOSE,0.0892307966710543,0.07,0.005,0.0192307966710543,-0.0028249544168331697,PERSISTS_LIKELY_CORP_ACTION
2025-08-25,TPB,HOSE,-0.0884353608630952,0.07,0.005,0.0184353608630952,0.0,STALE_REPEAT_NEXT_DAY
2021-10-07,VPB,HOSE,0.0882577193588727,0.07,0.005,0.0182577193588727,0.007012600178983641,PERSISTS_LIKELY_CORP_ACTION
2020-05-04,SAB,HOSE,-0.088235228217635,0.07,0.005,0.018235228217635,-0.0212906337346368,PERSISTS_LIKELY_CORP_ACTION
2019-12-06,HDB,HOSE,0.0880626765863581,0.07,0.005,0.0180626765863581,0.007194290639816803,PERSISTS_LIKELY_CORP_ACTION
2018-10-03,GVR,UPCOM,0.1677503250975291,0.15,0.005,0.0177503250975291,0.018930957683741756,PERSISTS_LIKELY_CORP_ACTION
