date,ticker,exchange,simple_return,band,tolerance,excess
2024-06-11,TCB,HOSE,-0.49539875374489384,0.07,0.005,0.42539875374489383
2025-12-18,HDB,HOSE,0.29690000087589996,0.07,0.005,0.22690000087589995
2023-02-20,TPB,HOSE,0.2637733813329073,0.07,0.005,0.19377338133290728
2025-12-19,HDB,HOSE,-0.19158878504672894,0.07,0.005,0.12158878504672893
2023-05-29,HDB,HOSE,0.17820162567951425,0.07,0.005,0.10820162567951425
2024-12-12,BID,HOSE,-0.17355376931815747,0.07,0.005,0.10355376931815746
2024-09-12,SSI,HOSE,-0.17307691817689586,0.07,0.005,0.10307691817689585
2018-01-25,GAS,HOSE,0.14444451775992206,0.07,0.005,0.07444451775992206
2025-10-13,VIC,HOSE,0.14428969359331467,0.07,0.005,0.07428969359331467
2025-06-16,PLX,HOSE,0.14326238350602183,0.07,0.005,0.07326238350602182
2018-01-25,VJC,HOSE,0.13804902796431961,0.07,0.005,0.06804902796431961
2025-08-25,VPB,HOSE,-0.1332470591889936,0.07,0.005,0.06324705918899359
2025-10-13,VRE,HOSE,0.1315790173955962,0.07,0.005,0.06157901739559618
2018-01-25,BID,HOSE,0.130111615513679,0.07,0.005,0.060111615513678995
2021-07-09,MWG,HOSE,0.1256376422301646,0.07,0.005,0.0556376422301646
2026-03-04,PLX,HOSE,0.12459542338282126,0.07,0.005,0.05459542338282125
2020-05-19,HPG,HOSE,0.121085512528188,0.07,0.005,0.05108551252818799
2025-10-20,VRE,HOSE,-0.12096777726032482,0.07,0.005,0.05096777726032481
2025-07-28,SSI,HOSE,0.11874997383668195,0.07,0.005,0.04874997383668195
2021-07-09,VRE,HOSE,-0.11671928375683793,0.07,0.005,0.046719283756837926
2026-03-04,GAS,HOSE,0.11525129982668969,0.07,0.005,0.045251299826689684
2021-10-28,GAS,HOSE,0.11507584838301255,0.07,0.005,0.04507584838301254
2025-10-20,VHM,HOSE,-0.1147541201638822,0.07,0.005,0.044754120163882194
2025-07-28,VJC,HOSE,0.11403509162675074,0.07,0.005,0.04403509162675073
2025-07-14,VIC,HOSE,0.11220472440944884,0.07,0.005,0.042204724409448835
2025-12-01,SSI,HOSE,-0.11136319788490856,0.07,0.005,0.041363197884908554
2018-01-25,MSN,HOSE,0.11085727746878637,0.07,0.005,0.04085727746878637
2018-01-25,VCB,HOSE,0.10983594119612317,0.07,0.005,0.03983594119612316
2025-09-08,VPB,HOSE,-0.10601719409870303,0.07,0.005,0.03601719409870302
2017-05-03,MBB,HOSE,0.10526315789473695,0.07,0.005,0.03526315789473694
2025-12-26,VHM,HOSE,-0.1042344936855838,0.07,0.005,0.03423449368558379
2020-03-17,GVR,HOSE,-0.10401459854014594,0.07,0.005,0.034014598540145935
2025-10-20,VPB,HOSE,-0.10391567491394915,0.07,0.005,0.033915674913949145
2025-10-06,VRE,HOSE,0.10236222177719134,0.07,0.005,0.032362221777191336
2025-08-25,SSB,HOSE,-0.10173161165701106,0.07,0.005,0.03173161165701105
2021-09-09,SSI,HOSE,0.1015034298103239,0.07,0.005,0.03150342981032389
2025-10-20,VNM,HOSE,-0.10130723435043887,0.07,0.005,0.03130723435043886
2021-02-17,GAS,HOSE,0.1000000076226839,0.07,0.005,0.0300000076226839
2025-09-08,TPB,HOSE,-0.09999999999999998,0.07,0.005,0.02999999999999997
2020-05-19,VPB,HOSE,0.0993659192123657,0.07,0.005,0.0293659192123657
2025-05-15,VPB,HOSE,0.09883711590506139,0.07,0.005,0.028837115905061383
2021-02-17,TCB,HOSE,0.09714283339004326,0.07,0.005,0.027142833390043253
2025-06-16,GAS,HOSE,0.09713372616260108,0.07,0.005,0.02713372616260107
2021-02-17,SSI,HOSE,0.09640501938140478,0.07,0.005,0.02640501938140477
2025-08-25,TCB,HOSE,-0.09626955902185452,0.07,0.005,0.026269559021854516
2021-07-09,HPG,HOSE,-0.09560225408123313,0.07,0.005,0.025602254081233122
2019-07-17,VCB,HOSE,0.09482778676315218,0.07,0.005,0.02482778676315217
2025-10-20,HDB,HOSE,-0.09431138780387083,0.07,0.005,0.02431138780387082
2019-12-06,MSN,HOSE,-0.09420293405446756,0.07,0.005,0.02420293405446755
2025-11-03,VRE,HOSE,-0.0939306483391078,0.07,0.005,0.023930648339107796
2025-09-29,VIC,HOSE,0.09367088607594942,0.07,0.005,0.023670886075949416
2021-02-17,FPT,HOSE,0.09256660914156556,0.07,0.005,0.022566609141565552
2021-07-09,SSI,HOSE,-0.09153711964712874,0.07,0.005,0.021537119647128733
