ticker,overlap_days,mean_pct_diff,max_pct_diff,pct_days_over_5pct
ACB,1405,0.014953672351942133,0.1516117988600389,0.0056939501779359435
BSR,379,0.005498440472999327,0.07000269205804212,0.029023746701846966
GVR,1592,0.0020145678378231204,0.07004991522884516,0.007537688442211055
LPB,1427,0.08911410783782339,0.17385976218989235,0.7112824106517169
SHB,2637,0.030811740053866114,0.4523090594386945,0.09025407660219947
VIB,1426,0.009372294469044072,0.20645521794725644,0.0091164095371669
