date,Adj Close,Close,High,Low,Open,Volume
2017-08-17,7265.587890625,8408.19140625,8408.19140625,7114.62353515625,8408.19140625,270411660
2017-08-18,6930.251953125,8020.12109375,8300.39453125,8020.12109375,8192.5966796875,5068956
2017-08-21,6678.75146484375,7729.068359375,7933.88330078125,7653.6103515625,7718.28857421875,3704498
2017-08-22,6706.69677734375,7761.40771484375,7761.40771484375,7502.6943359375,7502.6943359375,10649289
2017-08-23,6743.9560546875,7804.52685546875,7933.88330078125,7707.50927734375,7761.40771484375,241559786
2017-08-24,6753.2705078125,7815.306640625,7836.86572265625,7718.28857421875,7836.86572265625,314799077
2017-08-25,6762.58544921875,7826.0859375,7826.0859375,7718.28857421875,7739.84814453125,2854291
2017-08-28,6762.58544921875,7826.0859375,7826.0859375,7739.84814453125,7761.40771484375,3532879
2017-08-29,6762.58544921875,7826.0859375,7826.0859375,7826.0859375,7826.0859375,0
2017-08-30,6762.58544921875,7826.0859375,7826.0859375,7761.40771484375,7826.0859375,3850280
2017-08-31,6762.58544921875,7826.0859375,7826.0859375,7782.96728515625,7782.96728515625,5549209
2017-09-01,6762.58544921875,7826.0859375,7826.0859375,7782.96728515625,7782.96728515625,4536568
2017-09-04,6762.58544921875,7826.0859375,7826.0859375,7826.0859375,7826.0859375,0
2017-09-05,6781.21533203125,7847.6455078125,7847.6455078125,7772.1875,7772.1875,5909840
2017-09-06,7107.23583984375,8224.9365234375,8235.7158203125,7826.0859375,7847.6455078125,5886091
2017-09-07,7181.75341796875,8311.173828125,8472.8701171875,8235.7158203125,8235.7158203125,4175845
2017-09-08,7116.55029296875,8235.7158203125,8300.39453125,8224.9365234375,8300.39453125,1575363
2017-09-11,6892.99365234375,7977.00244140625,8214.15625,7955.44287109375,8192.5966796875,3040752
2017-09-12,6958.197265625,8052.46044921875,8084.7998046875,7847.6455078125,7977.00244140625,1531345
2017-09-13,6986.14208984375,8084.7998046875,8106.359375,7998.56201171875,8052.46044921875,1449340
2017-09-14,6976.82666015625,8074.02001953125,8106.359375,8041.6806640625,8084.7998046875,1247155
2017-09-15,6967.51220703125,8063.240234375,8106.359375,8052.46044921875,8074.02001953125,1634919
2017-09-18,6948.8828125,8041.6806640625,8084.7998046875,8030.90087890625,8063.240234375,1500872
2017-09-19,6883.6787109375,7966.22265625,8041.6806640625,7955.44287109375,8041.6806640625,3803526
2017-09-20,6874.36376953125,7955.44287109375,8041.6806640625,7944.6630859375,7966.22265625,3662753
2017-09-21,6874.36376953125,7955.44287109375,7966.22265625,7923.103515625,7955.44287109375,2484152
2017-09-22,6837.10498046875,7912.32421875,7955.44287109375,7869.205078125,7955.44287109375,5978023
2017-09-25,6827.7900390625,7901.54443359375,7944.6630859375,7901.54443359375,7912.32421875,2339390
2017-09-26,6818.47412109375,7890.7646484375,7955.44287109375,7890.7646484375,7955.44287109375,3332039
2017-09-27,6939.5673828125,8030.90087890625,8074.02001953125,7890.7646484375,7890.7646484375,6836069
2017-09-28,6939.5673828125,8030.90087890625,8149.47802734375,8020.12109375,8041.6806640625,5744993
2017-09-29,6986.14208984375,8084.7998046875,8138.6982421875,8030.90087890625,8030.90087890625,3489604
2017-10-02,6939.5673828125,8030.90087890625,8106.359375,7977.00244140625,8084.7998046875,2942327
2017-10-03,6874.36376953125,7955.44287109375,8041.6806640625,7923.103515625,8020.12109375,3059723
2017-10-04,6874.36376953125,7955.44287109375,7977.00244140625,7923.103515625,7955.44287109375,2121898
2017-10-05,6865.048828125,7944.6630859375,8009.341796875,7944.6630859375,7998.56201171875,1020387
2017-10-06,6930.251953125,8020.12109375,8020.12109375,7933.88330078125,7987.7822265625,1897588
