date,Adj Close,Close,High,Low,Open,Volume
2016-12-06,44269.08984375,66000.0,66000.0,66000.0,66000.0,6020
2016-12-07,47354.515625,70600.0,70600.0,70600.0,70600.0,60
2016-12-08,50641.16796875,75500.0,75500.0,75500.0,75500.0,2000
2016-12-09,54162.55859375,80750.0,80750.0,75500.0,75500.0,6020
2016-12-12,57952.28125,86400.0,86400.0,86400.0,86400.0,71380
2016-12-13,61976.73046875,92400.0,92400.0,92400.0,92400.0,193660
2016-12-14,66303.03125,98850.0,98850.0,98850.0,98850.0,308760
2016-12-15,70931.15625,105750.0,105750.0,105000.0,105750.0,760100
2016-12-16,75458.6953125,112500.0,113150.0,100000.0,113150.0,775040
2016-12-19,71098.859375,106000.0,112500.0,106000.0,106000.0,336380
2016-12-20,66135.359375,98600.0,105750.0,98600.0,105500.0,799420
2016-12-21,67342.6875,100400.0,101750.0,92500.0,98600.0,483500
2016-12-22,68080.5,101500.0,104950.0,101500.0,104950.0,104920
2016-12-23,67074.390625,100000.0,101500.0,98550.0,101500.0,109620
2016-12-26,67074.390625,98500.0,99000.0,95000.0,99000.0,339740
2016-12-27,67414.8671875,99000.0,99900.0,96550.0,98500.0,139760
2016-12-28,67721.296875,99450.0,99900.0,98550.0,99900.0,57060
2016-12-29,67074.390625,98500.0,99000.0,96500.0,99000.0,197120
2016-12-30,67312.71875,98850.0,99000.0,97750.0,99000.0,193480
2017-01-03,67074.390625,98500.0,98850.0,97950.0,98850.0,126340
2017-01-04,67074.390625,98500.0,99300.0,97500.0,98500.0,174980
2017-01-05,67108.4296875,98550.0,99000.0,98000.0,98500.0,54340
2017-01-06,70138.7109375,103000.0,104950.0,98600.0,98950.0,424780
2017-01-09,69798.21875,102500.0,104000.0,102500.0,103000.0,62780
2017-01-10,69627.9921875,102250.0,103450.0,100750.0,103450.0,89080
2017-01-11,71500.609375,105000.0,105000.0,101000.0,102000.0,456960
2017-01-12,71704.890625,105300.0,106500.0,105000.0,106500.0,110580
2017-01-13,72113.46875,105900.0,106100.0,105300.0,105350.0,75340
2017-01-16,71160.140625,104500.0,105500.0,104000.0,105500.0,67780
2017-01-17,73713.734375,108250.0,108700.0,104050.0,104250.0,227520
2017-01-18,76199.234375,111900.0,112500.0,107650.0,107650.0,206960
2017-01-19,76199.234375,111900.0,112500.0,110000.0,112500.0,80080
2017-01-20,76199.234375,111900.0,112550.0,111500.0,111500.0,155880
2017-01-23,75586.3515625,111000.0,111900.0,110250.0,111900.0,88720
2017-01-24,75586.3515625,111000.0,112000.0,110000.0,110000.0,274200
2017-01-25,76199.234375,111900.0,111900.0,110000.0,111000.0,37600
2017-01-26,76199.234375,111900.0,111900.0,111900.0,111900.0,0
2017-02-03,73883.9765625,108500.0,111450.0,108200.0,108700.0,103400
2017-02-06,73203.015625,107500.0,109750.0,105750.0,109750.0,100140
2017-02-07,73543.5,108000.0,110000.0,106500.0,107500.0,153160
2017-02-08,73305.171875,107650.0,108500.0,107500.0,108000.0,72700
2017-02-09,71841.09375,105500.0,107650.0,104000.0,107650.0,300140
2017-02-10,72590.1484375,106600.0,107000.0,105500.0,105500.0,71760
2017-02-13,72658.234375,106700.0,107350.0,105000.0,106600.0,50480
2017-02-14,73543.5,108000.0,108450.0,106550.0,106700.0,144440
2017-02-15,72828.484375,106950.0,108000.0,106400.0,108000.0,168600
2017-02-16,73339.1953125,107700.0,108000.0,107000.0,107000.0,88460
2017-02-17,73100.875,107350.0,107500.0,107000.0,107500.0,68860
2017-02-20,74224.4609375,109000.0,109000.0,106600.0,106650.0,207860
2017-02-21,74769.203125,109800.0,110000.0,108800.0,108800.0,69860
2017-02-22,76369.4765625,112150.0,112250.0,109750.0,109750.0,200720
2017-02-23,77288.765625,113500.0,113500.0,112000.0,112450.0,260040
2017-02-24,77288.765625,113500.0,115000.0,113000.0,114000.0,215680
2017-02-27,76641.84375,112550.0,113950.0,112000.0,112250.0,122540
2017-02-28,76641.84375,112550.0,113100.0,112550.0,112750.0,101440
