date,Adj Close,Close,High,Low,Open,Volume
2026-03-17,76900.0,76900.0,79000.0,76000.0,78100.0,396300
2026-03-18,77800.0,77800.0,79500.0,76400.0,76400.0,634400
2026-03-19,81000.0,81000.0,81300.0,76200.0,76200.0,1018300
2026-03-20,79000.0,79000.0,81600.0,78600.0,80600.0,530800
2026-03-23,78300.0,78300.0,78900.0,73500.0,78900.0,617100
2026-03-24,79300.0,79300.0,80000.0,76100.0,79000.0,499400
2026-03-25,82500.0,82500.0,82500.0,79000.0,79900.0,586500
2026-03-26,81800.0,81800.0,83000.0,80500.0,83000.0,469000
2026-03-27,83000.0,83000.0,83000.0,80000.0,81000.0,471900
2026-03-30,83300.0,83300.0,84300.0,80000.0,81700.0,594800
2026-03-31,83400.0,83400.0,84500.0,82300.0,82300.0,312100
2026-04-01,83900.0,83900.0,86500.0,83400.0,86000.0,2375500
2026-04-02,83900.0,83900.0,84200.0,81000.0,84200.0,766400
2026-04-03,83200.0,83200.0,89700.0,83200.0,83500.0,1476000
2026-04-06,82600.0,82600.0,84200.0,80000.0,83300.0,840100
2026-04-07,81900.0,81900.0,82000.0,78800.0,82000.0,887200
2026-04-08,85000.0,85000.0,85500.0,82000.0,83700.0,612900
2026-04-09,80000.0,80000.0,84000.0,80000.0,83500.0,683800
2026-04-10,81000.0,81000.0,81300.0,79500.0,80800.0,375100
2026-04-13,80200.0,80200.0,81300.0,79100.0,79100.0,319900
2026-04-14,80000.0,80000.0,81400.0,79700.0,80500.0,326400
2026-04-15,84000.0,84000.0,84000.0,79700.0,80900.0,1322800
2026-04-16,86100.0,86100.0,88000.0,83900.0,84000.0,1959800
2026-04-17,82800.0,82800.0,86800.0,81800.0,86100.0,1035800
2026-04-20,85300.0,85300.0,86800.0,81100.0,83000.0,1344300
2026-04-21,83700.0,83700.0,87000.0,83600.0,85900.0,885700
2026-04-22,83900.0,83900.0,85000.0,80800.0,83800.0,855700
2026-04-23,83500.0,83500.0,85200.0,82000.0,85200.0,812600
2026-04-24,81500.0,81500.0,84000.0,81500.0,82800.0,861400
2026-04-27,81500.0,81500.0,81500.0,81500.0,81500.0,0
2026-04-28,84300.0,84300.0,85700.0,80800.0,81500.0,1227900
2026-04-29,85700.0,85700.0,87900.0,83300.0,85000.0,666000
2026-04-30,85700.0,85700.0,85700.0,85700.0,85700.0,0
2026-05-01,85700.0,85700.0,85700.0,85700.0,85700.0,0
2026-05-04,85200.0,85200.0,87100.0,83700.0,85000.0,580500
2026-05-05,88000.0,88000.0,90300.0,84000.0,84100.0,2036700
2026-05-06,90000.0,90000.0,92000.0,89000.0,89000.0,1322600
2026-05-07,91500.0,91500.0,92000.0,88000.0,91000.0,1519200
2026-05-08,91500.0,91500.0,92000.0,89000.0,92000.0,995600
2026-05-11,89000.0,89000.0,93000.0,89000.0,91500.0,1121800
2026-05-12,89500.0,89500.0,89800.0,86300.0,88000.0,718900
2026-05-13,90000.0,90000.0,90000.0,83300.0,90000.0,1293700
2026-05-14,89800.0,89800.0,91400.0,86200.0,89000.0,806700
2026-05-15,88400.0,88400.0,90300.0,88300.0,90300.0,604600
2026-05-18,90400.0,90400.0,90400.0,86700.0,87600.0,881600
2026-05-19,91500.0,91500.0,91800.0,88700.0,91800.0,859800
2026-05-20,91600.0,91600.0,91600.0,88000.0,91500.0,835200
2026-05-21,93500.0,93500.0,94200.0,89900.0,91500.0,997800
2026-05-22,93400.0,93400.0,95000.0,92000.0,93400.0,686700
2026-05-25,95700.0,95700.0,96600.0,91600.0,91600.0,900200
2026-05-26,95700.0,95700.0,99500.0,94000.0,96000.0,776200
2026-05-27,91700.0,91700.0,95300.0,90400.0,95000.0,746200
2026-05-28,91800.0,91800.0,93800.0,90000.0,90800.0,615400
2026-05-29,93500.0,93500.0,93500.0,90500.0,92900.0,733000
2026-06-01,92200.0,92200.0,94000.0,91900.0,93600.0,536800
2026-06-02,92000.0,92000.0,93000.0,88200.0,92300.0,994700
2026-06-03,92000.0,92000.0,92000.0,88200.0,89800.0,721900
2026-06-04,90700.0,90700.0,92600.0,89900.0,92000.0,627900
2026-06-05,91500.0,91500.0,91800.0,90300.0,90600.0,735000
2026-06-08,89000.0,89000.0,91000.0,89000.0,90000.0,654100
2026-06-09,90000.0,90000.0,90300.0,87000.0,89100.0,707700
2026-06-10,90000.0,90000.0,90000.0,87700.0,89800.0,684100
2026-06-11,89900.0,89900.0,90000.0,87500.0,88400.0,742300
2026-06-12,87000.0,87000.0,89800.0,87000.0,89800.0,684600
2026-06-15,88600.0,88600.0,88800.0,85500.0,87700.0,813200
