date,Adj Close,Close,High,Low,Open,Volume
2018-05-17,29048.953125,34000.0,34000.0,34000.0,34000.0,58500
2018-05-18,29048.953125,34000.0,34000.0,34000.0,34000.0,0
2018-05-21,29048.953125,34000.0,34000.0,34000.0,34000.0,0
2018-05-22,31073.177734375,36369.23046875,36369.23046875,36369.23046875,36369.23046875,65
2018-05-23,28996.376953125,33938.4609375,35230.76953125,33846.15234375,35230.76953125,15728635
2018-05-24,30100.5,35230.76953125,35323.078125,33876.921875,34092.30859375,6296030
2018-05-25,30889.158203125,36153.84765625,36892.30859375,35230.76953125,35323.078125,5686590
2018-05-28,30757.71484375,36000.0,36307.69140625,34153.84765625,34153.84765625,9570405
2018-05-29,30494.83203125,35692.30859375,36061.5390625,34800.0,36000.0,2874040
2018-05-30,30757.71484375,36000.0,36000.0,34769.23046875,35692.30859375,7956845
2018-05-31,30258.23046875,35415.3828125,36153.84765625,35415.3828125,36000.0,3830742
2018-06-01,30626.271484375,35846.15234375,36153.84765625,35230.76953125,35415.3828125,2648327
2018-06-04,30994.3125,36276.921875,36276.921875,35538.4609375,35692.30859375,5728547
2018-06-05,31020.603515625,36307.69140625,36615.3828125,36000.0,36276.921875,3997142
2018-06-06,31546.375,36923.078125,37200.0,36000.0,36153.84765625,2314747
2018-06-07,31546.375,36923.078125,37538.4609375,34338.4609375,37538.4609375,3793432
2018-06-08,31546.375,36923.078125,37200.0,36153.84765625,36923.078125,1504555
2018-06-11,31546.375,36923.078125,37169.23046875,36615.3828125,37169.23046875,1383817
2018-06-12,31020.603515625,36307.69140625,36923.078125,36000.0,36923.078125,2653007
2018-06-13,31020.603515625,36307.69140625,36430.76953125,36184.6171875,36307.69140625,941167
2018-06-14,30757.71484375,36000.0,36461.5390625,35784.6171875,36307.69140625,2028747
2018-06-15,30626.271484375,35846.15234375,36215.3828125,35846.15234375,36215.3828125,692737
2018-06-18,30626.271484375,35846.15234375,36307.69140625,35692.30859375,35846.15234375,2035410
2018-06-19,30231.943359375,35384.6171875,35846.15234375,35292.30859375,35846.15234375,2504872
2018-06-20,30231.943359375,35384.6171875,35692.30859375,32953.84765625,32953.84765625,1995435
2018-06-21,30231.943359375,35384.6171875,35415.3828125,35076.921875,35384.6171875,381160
2018-06-22,30021.630859375,35138.4609375,35384.6171875,35076.921875,35384.6171875,270497
2018-06-25,30363.384765625,35538.4609375,35661.5390625,35138.4609375,35138.4609375,696345
2018-06-26,30231.943359375,35384.6171875,35538.4609375,35107.69140625,35538.4609375,365430
2018-06-27,28917.5078125,33846.15234375,35107.69140625,33846.15234375,34615.3828125,993655
2018-06-28,28917.5078125,33846.15234375,34769.23046875,33230.76953125,33846.15234375,604240
2018-06-29,29548.439453125,34584.6171875,34769.23046875,33384.6171875,34769.23046875,1045622
2018-07-02,29259.259765625,34246.15234375,34615.3828125,33846.15234375,34615.3828125,1482617
2018-07-03,27235.0390625,31876.923828125,34246.15234375,31876.923828125,34246.15234375,537647
2018-07-04,29127.8203125,34092.30859375,34092.30859375,31415.384765625,31415.384765625,4414052
2018-07-05,29969.056640625,35076.921875,35384.6171875,34092.30859375,34092.30859375,3928047
