date,Open,High,Low,Close,Adj Close,Volume
2018-03-02,17160.0,17510.0,16059.999999999998,16219.999999999998,16219.999999999998,7695417
2018-03-05,17100.0,17100.0,16020.0,16059.999999999998,16059.999999999998,4083263
2018-03-06,16059.999999999998,16320.0,15550.0,16020.0,16020.0,3132026
2018-03-07,15910.0,16320.0,15340.0,15490.0,15490.0,2770016
2018-03-08,15700.0,15700.0,14510.0,14770.0,14770.0,2383360
2018-03-09,14720.0,15650.0,14720.0,15030.0,15030.0,3008463
2018-03-12,15280.0,15390.0,14510.0,14820.0,14820.0,1896730
2018-03-13,14980.0,14980.0,14400.0,14510.0,14510.0,1469970
2018-03-14,14510.0,14510.0,13370.0,13730.0,13730.0,5329546
2018-03-15,13840.0,14460.0,13420.0,13990.0,13990.0,2586788
2018-03-16,14040.0,14250.0,13890.0,13990.0,13990.0,1213193
2018-03-19,14040.0,14100.0,13420.0,13470.0,13470.0,2111480
2018-03-20,13470.0,14350.0,13220.0,14150.0,14150.0,3150487
2018-03-21,14250.0,14350.0,14100.0,14200.0,14200.0,1270380
2018-03-22,14250.0,14300.0,13840.0,13940.0,13940.0,1199547
2018-03-23,13780.0,13780.0,13260.0,13630.0,13630.0,1506200
2018-03-26,13570.0,13940.0,13420.0,13470.0,13470.0,916293
2018-03-27,13470.0,13840.0,13470.0,13520.0,13520.0,1025820
2018-03-28,13470.0,13520.0,13220.0,13310.0,13310.0,1111610
2018-03-29,13370.0,13520.0,13220.0,13310.0,13310.0,729200
2018-03-30,13310.0,13780.0,13260.0,13780.0,13780.0,1105930
2018-04-02,13780.0,14100.0,13420.0,13630.0,13630.0,1817678
2018-04-03,13470.0,13730.0,13070.0,13160.0,13160.0,2182202
2018-04-04,13220.0,13220.0,12690.0,12950.0,12950.0,2114026
2018-04-05,12950.0,12950.0,12480.0,12590.0,12590.0,1953982
2018-04-06,12640.0,12950.0,12240.0,12380.0,12380.0,2342281
2018-04-09,12440.0,12440.0,11980.0,12440.0,12440.0,1716271
2018-04-10,12590.0,12590.0,12130.0,12180.0,12180.0,1104775
2018-04-11,12380.0,12440.0,11980.0,12180.0,12180.0,1116412
2018-04-12,12180.0,12180.0,11820.0,11980.0,11980.0,1285128
2018-04-13,11920.0,12180.0,11660.0,11860.0,11860.0,1111730
2018-04-16,11860.0,12130.0,11550.0,11920.0,11920.0,1530858
2018-04-17,11820.0,12070.0,11820.0,11980.0,11980.0,855535
2018-04-18,11980.0,11980.0,11610.0,11660.0,11660.0,582850
2018-04-19,11550.0,11820.0,10990.0,11040.0,11040.0,1120801
2018-04-20,11150.0,11290.0,10930.0,11200.0,11200.0,819882
2018-04-23,11290.0,11710.0,11150.0,11290.0,11290.0,817609
2018-04-24,11350.0,11550.0,10990.0,11040.0,11040.0,848301
2018-04-26,11040.0,11150.0,10060.0,10310.0,10310.0,1134250
2018-04-27,10410.0,10520.0,10000.0,10410.0,10410.0,1036590
2018-05-02,10270.0,10370.0,9430.0,9480.0,9480.0,1161645
2018-05-03,9430.0,9540.0,9230.0,9540.0,9540.0,1671160
2018-05-04,9370.0,9850.0,9370.0,9640.0,9640.0,1330950
2018-05-07,9640.0,11150.0,9640.0,10890.0,10890.0,2086585
2018-05-08,10990.0,11150.0,10460.0,10520.0,10520.0,750400
2018-05-09,10580.0,10620.0,10270.0,10460.0,10460.0,761030
2018-05-10,10460.0,10620.0,9960.0,10000.0,10000.0,977380
2018-05-11,9170.0,10730.0,9070.0,10670.0,10670.0,2699614
2018-05-14,10210.0,11450.0,10210.0,10730.0,10730.0,1121100
2018-05-15,10730.0,11760.0,10670.0,11290.0,11290.0,2040992
2018-05-16,11150.0,11760.0,11150.0,11240.0,11240.0,1928213
2018-05-17,11350.0,11760.0,11290.0,11400.0,11400.0,1085850
2018-05-18,11500.0,11500.0,10990.0,11200.0,11200.0,1037675
2018-05-21,11200.0,11290.0,10620.0,10620.0,10620.0,968158
2018-05-22,10780.0,10780.0,9850.0,10210.0,10210.0,1339898
2018-05-23,10110.0,10460.0,10000.0,10410.0,10410.0,851716
2018-05-24,10310.0,10460.0,10110.0,10370.0,10370.0,770683
2018-05-25,10270.0,10270.0,9750.0,9850.0,9850.0,1053610
2018-05-28,9850.0,9850.0,8810.0,9120.0,9120.0,1421966
2018-05-29,9120.0,9850.0,9070.0,9590.0,9590.0,1329567
2018-05-30,9430.0,9480.0,9170.0,9330.0,9330.0,577849
