date,Open,High,Low,Close,Adj Close,Volume
2017-01-10,1610.0,1610.0,1560.0,1570.0,1570.0,234947
2017-01-11,1570.0,1570.0,1540.0,1560.0,1560.0,173442
2017-01-12,1520.0,1520.0,1420.0,1420.0,1420.0,52349
2017-01-13,1370.0,1370.0,1260.0,1270.0,1270.0,70740
2017-01-16,1330.0,1330.0,1270.0,1320.0,1320.0,134435
2017-01-17,1330.0,1380.0,1330.0,1380.0,1380.0,40175
2017-01-18,1430.0,1450.0,1420.0,1450.0,1450.0,20408
2017-01-19,1460.0,1490.0,1450.0,1490.0,1490.0,73089
2017-01-20,1470.0,1530.0,1470.0,1480.0,1480.0,52135
2017-01-23,1530.0,1560.0,1500.0,1500.0,1500.0,42247
2017-01-24,1550.0,1570.0,1550.0,1570.0,1570.0,63225
2017-01-25,1560.0,1560.0,1560.0,1560.0,1560.0,1610
2017-02-02,1560.0,1560.0,1500.0,1500.0,1500.0,9810
2017-02-03,1500.0,1560.0,1500.0,1550.0,1550.0,7890
2017-02-06,1530.0,1530.0,1530.0,1530.0,1530.0,75013
2017-02-07,1530.0,1530.0,1530.0,1530.0,1530.0,23900
2017-02-08,1530.0,1530.0,1500.0,1500.0,1500.0,11454
2017-02-09,1530.0,1560.0,1520.0,1520.0,1520.0,27845
2017-02-10,1530.0,1560.0,1530.0,1560.0,1560.0,12638
2017-02-13,1520.0,1560.0,1520.0,1560.0,1560.0,24240
2017-02-14,1530.0,1550.0,1530.0,1530.0,1530.0,17715
2017-02-15,1530.0,1570.0,1530.0,1550.0,1550.0,53610
2017-02-16,1560.0,1590.0,1560.0,1570.0,1570.0,62280
2017-02-17,1560.0,1560.0,1560.0,1560.0,1560.0,1540
2017-02-20,1560.0,1590.0,1560.0,1560.0,1560.0,20599
2017-02-21,1560.0,1570.0,1560.0,1570.0,1570.0,12750
2017-02-22,1570.0,1570.0,1560.0,1560.0,1560.0,41019
2017-02-23,1570.0,1570.0,1560.0,1560.0,1560.0,60220
2017-02-24,1570.0,1570.0,1560.0,1570.0,1570.0,30064
2017-02-27,1570.0,1570.0,1560.0,1570.0,1570.0,16720
2017-02-28,1560.0,1590.0,1560.0,1570.0,1570.0,13447
2017-03-01,1570.0,1620.0,1570.0,1590.0,1590.0,8158
2017-03-02,1620.0,1700.0,1610.0,1620.0,1620.0,17246
2017-03-03,1620.0,1640.0,1620.0,1640.0,1640.0,13301
2017-03-06,1640.0,1640.0,1620.0,1620.0,1620.0,20752
2017-03-07,1590.0,1640.0,1590.0,1620.0,1620.0,15280
2017-03-08,1590.0,1590.0,1590.0,1590.0,1590.0,4000
2017-03-09,1590.0,1590.0,1590.0,1590.0,1590.0,6619
2017-03-10,1590.0,1620.0,1590.0,1620.0,1620.0,1400
2017-03-13,1620.0,1620.0,1620.0,1620.0,1620.0,3515
2017-03-14,1620.0,1640.0,1620.0,1620.0,1620.0,12650
