date,Open,High,Low,Close,Adj Close,Volume
2017-10-06,2830.0,2830.0,2710.0,2760.0,2760.0,1196846
2017-10-09,2760.0,2810.0,2760.0,2800.0,2800.0,1018740
2017-10-10,2800.0,2810.0,2730.0,2760.0,2760.0,1369264
2017-10-11,2760.0,2760.0,2600.0,2640.0,2640.0,1929895
2017-10-12,2640.0,2640.0,2500.0,2550.0,2550.0,1503890
2017-10-13,2500.0,2570.0,2430.0,2450.0,2450.0,1998290
2017-10-16,2430.0,2650.0,2400.0,2530.0,2530.0,2078341
2017-10-17,2550.0,2690.0,2550.0,2690.0,2690.0,2352646
2017-10-18,2710.0,2800.0,2710.0,2710.0,2710.0,1921054
2017-10-19,2710.0,2710.0,2640.0,2650.0,2650.0,1665342
2017-10-20,2670.0,2670.0,2610.0,2650.0,2650.0,716310
2017-10-23,2650.0,2650.0,2570.0,2570.0,2570.0,989690
2017-10-24,2570.0,2690.0,2550.0,2650.0,2650.0,2296792
2017-10-25,2690.0,2830.0,2690.0,2820.0,2820.0,4451160
2017-10-26,2800.0,2830.0,2770.0,2820.0,2820.0,4783279
2017-10-27,2820.0,2830.0,2800.0,2820.0,2820.0,917448
2017-10-30,2820.0,2820.0,2760.0,2770.0,2770.0,1155892
2017-10-31,2760.0,2760.0,2710.0,2710.0,2710.0,998097
2017-11-01,2740.0,2740.0,2690.0,2740.0,2740.0,1832620
2017-11-02,2760.0,2760.0,2710.0,2740.0,2740.0,1436565
2017-11-03,2740.0,2740.0,2660.0,2690.0,2690.0,1311510
2017-11-06,2650.0,2710.0,2640.0,2660.0,2660.0,1721340
2017-11-07,2690.0,2690.0,2610.0,2640.0,2640.0,3472406
2017-11-08,2650.0,2740.0,2640.0,2710.0,2710.0,3419190
2017-11-09,2760.0,2860.0,2760.0,2820.0,2820.0,2027331
2017-11-10,2820.0,2860.0,2800.0,2800.0,2800.0,2162571
2017-11-13,2840.0,2840.0,2770.0,2820.0,2820.0,1658710
2017-11-14,2900.0,2960.0,2820.0,2890.0,2890.0,1417790
2017-11-15,2820.0,2930.0,2820.0,2930.0,2930.0,1199023
2017-11-16,2930.0,3120.0,2930.0,3060.0,3060.0,3654576
2017-11-17,3120.0,3150.0,3020.0,3050.0,3050.0,1427771
2017-11-20,3060.0,3060.0,3010.0,3020.0,3020.0,1377090
2017-11-21,3050.0,3060.0,3010.0,3050.0,3050.0,1436020
2017-11-22,2980.0,3100.0,2980.0,3060.0,3060.0,2574539
2017-11-23,3150.0,3170.0,3100.0,3120.0,3120.0,2175399
2017-11-24,3120.0,3150.0,3060.0,3150.0,3150.0,2075370
2017-11-27,3170.0,3340.0,3150.0,3310.0,3310.0,5381683
2017-11-28,3310.0,3380.0,3270.0,3270.0,3270.0,7626825
2017-11-29,3280.0,3280.0,3180.0,3180.0,3180.0,1841038
2017-11-30,3210.0,3270.0,3180.0,3210.0,3210.0,1149710
2017-12-01,3210.0,3210.0,3100.0,3120.0,3120.0,2499176
2017-12-04,3120.0,3180.0,3120.0,3150.0,3150.0,1390615
2017-12-05,3170.0,3170.0,3120.0,3120.0,3120.0,897567
2017-12-06,3120.0,3150.0,3100.0,3100.0,3100.0,1710500
2017-12-07,3120.0,3120.0,3060.0,3100.0,3100.0,1185503
2017-12-08,3120.0,3170.0,3100.0,3150.0,3150.0,1693255
2017-12-11,3180.0,3290.0,3170.0,3240.0,3240.0,2580503
2017-12-12,3270.0,3270.0,3120.0,3210.0,3210.0,1312330
2017-12-13,3240.0,3240.0,3170.0,3180.0,3180.0,988680
2017-12-14,3170.0,3210.0,3170.0,3210.0,3210.0,658072
2017-12-15,3210.0,3210.0,3170.0,3180.0,3180.0,1906195
2017-12-18,3180.0,3210.0,3180.0,3210.0,3210.0,1339219
2017-12-19,3240.0,3270.0,3210.0,3240.0,3240.0,1979610
2017-12-20,3270.0,3320.0,3240.0,3290.0,3290.0,2450673
2017-12-21,3290.0,3320.0,3240.0,3270.0,3270.0,2301950
2017-12-22,3270.0,3290.0,3240.0,3270.0,3270.0,1060600
2017-12-25,3270.0,3270.0,3240.0,3240.0,3240.0,1010390
2017-12-26,3270.0,3270.0,3240.0,3270.0,3270.0,1016770
2017-12-27,3270.0,3290.0,3210.0,3240.0,3240.0,1719140
2017-12-28,3240.0,3290.0,3180.0,3270.0,3270.0,1262498
2017-12-29,3340.0,3340.0,3290.0,3320.0,3320.0,878068
2018-01-02,3340.0,3370.0,3290.0,3340.0,3340.0,1559161
2018-01-03,3420.0,3530.0,3390.0,3500.0,3500.0,4890664
2018-01-04,3530.0,3540.0,3500.0,3540.0,3540.0,3527807
2018-01-05,3600.0,3600.0,3530.0,3540.0,3540.0,2182052
2018-01-08,3530.0,3730.0,3500.0,3700.0,3700.0,6398502
2018-01-09,3850.0,4050.0,3790.0,3970.0,3970.0,5009071
2018-01-10,4110.0,4110.0,3970.0,4010.0,4010.0,2912489
2018-01-11,4010.0,4530.0,3970.0,4370.0,4370.0,7513965
2018-01-12,4540.0,4790.0,4330.0,4470.0,4470.0,4824173
2018-01-15,4580.0,4580.0,4390.0,4500.0,4500.0,2193796
2018-01-16,4440.0,4470.0,4330.0,4370.0,4370.0,2940402
2018-01-17,4390.0,4540.0,4310.0,4330.0,4330.0,2504400
2018-01-18,4330.0,4470.0,4270.0,4440.0,4440.0,1568960
2018-01-19,4430.0,4560.0,4430.0,4510.0,4510.0,1846108
2018-01-22,4510.0,4560.0,4440.0,4470.0,4470.0,2724530
2018-01-23,4540.0,4880.0,4510.0,4880.0,4880.0,5634151
2018-01-24,4940.0,5260.0,4940.0,5100.0,5100.0,2824150
2018-01-25,5140.0,5260.0,5030.0,5100.0,5100.0,4467291
2018-01-26,5100.0,5230.0,5000.0,5060.0,5060.0,4122527
2018-01-29,5100.0,5280.0,5060.0,5170.0,5170.0,3551146
2018-01-30,5210.0,5260.0,5060.0,5210.0,5210.0,3804870
2018-01-31,5210.0,5320.0,5140.0,5210.0,5210.0,3503008
2018-02-01,5290.0,5290.0,4920.0,4980.0,4980.0,1771451
2018-02-02,4980.0,5060.0,4820.0,4920.0,4920.0,1503073
2018-02-05,4980.0,5450.0,4390.0,4520.0,4520.0,2730927
2018-02-06,4430.0,4600.0,3990.0,4320.0,4320.0,5100513
2018-02-07,4370.0,4680.0,4320.0,4640.0,4640.0,1809793
2018-02-08,4640.0,4640.0,4430.0,4450.0,4450.0,1016920
2018-02-09,4230.0,4570.0,4150.0,4550.0,4550.0,2091362
2018-02-12,4740.0,4840.0,4710.0,4840.0,4840.0,2186850
2018-02-13,4970.0,5060.0,4840.0,5030.0,5030.0,1433291
2018-02-21,5030.0,5200.0,5030.0,5060.0,5060.0,1978111
2018-02-22,5060.0,5090.0,4940.0,5000.0,5000.0,2080421
2018-02-23,5000.0,5090.0,4970.0,5060.0,5060.0,2122192
2018-02-26,5060.0,5220.0,5030.0,5030.0,5030.0,3486519
2018-02-27,5130.0,5220.0,5000.0,5030.0,5030.0,1419985
2018-02-28,5060.0,5060.0,4940.0,5000.0,5000.0,2781413
2018-03-01,4970.0,5000.0,4710.0,4870.0,4870.0,3507531
2018-03-02,4870.0,4870.0,4740.0,4840.0,4840.0,1836772
2018-03-05,4810.0,4970.0,4640.0,4700.0,4700.0,2252919
2018-03-06,4810.0,4870.0,4770.0,4870.0,4870.0,1926418
2018-03-07,4870.0,4900.0,4740.0,4840.0,4840.0,1852024
2018-03-08,4840.0,4840.0,4810.0,4810.0,4810.0,1013065
2018-03-09,4870.0,5230.0,4870.0,5130.0,5130.0,5709648
2018-03-12,5160.0,5390.0,5160.0,5260.0,5260.0,3481804
2018-03-13,5290.0,5290.0,5160.0,5260.0,5260.0,1436019
2018-03-14,5260.0,5290.0,5160.0,5230.0,5230.0,2952316
2018-03-15,5230.0,5230.0,5060.0,5210.0,5210.0,2257275
