rank,ticker,current_weight,eligible_status,baseline_CVaR_contribution,marginal_CVaR_reduction_10pct,marginal_CVaR_reduction_20pct,marginal_CVaR_reduction_30pct,transaction_cost_estimate,liquidity_penalty,net_risk_score,reason,selected_top10,underfilled_reason,note,run_id,profile_id,profile_status,config_version,config_hash
15,SHB,0.0333333333,True,0.0026066561948649494,0.0002521094219288811,0.0005038734504541897,0.0007544446824104267,2.4999999974999997e-05,4.999999995e-06,0.004087083749688447,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
16,TCB,0.0333333333,True,0.002534692738483258,0.00024298249884828482,0.00048561960429298334,0.0007275699161481269,2.4999999974999997e-05,4.999999995e-06,0.003960864757802653,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
17,VCB,0.0333333333,True,0.002257073865279029,0.00021732965245235825,0.0004335021516022053,0.0006490234183555987,2.4999999974999997e-05,4.999999995e-06,0.0035269290877191915,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
18,VIB,0.0333333333,True,0.0021054539269487137,0.00020192391337406357,0.0004035024333445547,0.0006050809533150459,2.4999999974999997e-05,4.999999995e-06,0.003285961227012378,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
19,HPG,0.0333333333,True,0.001951733184553772,0.000186838339249637,0.00037349687872839654,0.0005598997959226637,2.4999999974999997e-05,4.999999995e-06,0.0030419681984844697,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
20,STB,0.0333333333,True,0.0017857087957013776,0.00016941724718225193,0.0003353521543398297,0.0004972144809491374,2.4999999974999997e-05,4.999999995e-06,0.002757692678202597,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
21,TPB,0.0333333333,True,0.0016927624467721798,0.00016094291135222705,0.00032185607061874233,0.0004822627371239424,2.4999999974999997e-05,4.999999995e-06,0.0026278241658970916,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
22,VPB,0.0333333333,True,0.001663396256057175,0.0001574028448747683,0.00031448706433830076,0.00047048885839771903,2.4999999974999997e-05,4.999999995e-06,0.002575775023697963,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
23,VJC,0.0333333333,True,0.0008556503037264565,7.723169704765276e-05,0.0001524121481131513,0.00022679508501083356,2.4999999974999997e-05,4.999999995e-06,0.001282089233928094,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
24,LPB,0.0333333333,True,0.0007423859441101653,6.047640099143825e-05,0.00010333952726501727,0.00014288470524541352,2.4999999974999997e-05,4.999999995e-06,0.0010190865776420342,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
25,VNM,0.0333333333,True,0.0005237732267063304,4.4043989345654566e-05,8.791248770396998e-05,0.00013177883167052318,2.4999999974999997e-05,4.999999995e-06,0.0007575085354564781,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
26,VHM,0.0333333333,True,0.0004006724647580938,2.547415976270062e-05,4.702207925774693e-05,6.466972264448922e-05,2.4999999974999997e-05,4.999999995e-06,0.0005078384264530306,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
27,VPL,0.0333333334,True,0.00032453133792623346,2.342925179078803e-05,4.474089846978613e-05,6.484708280987683e-05,2.5000000049999997e-05,5.000000009999999e-06,0.00042754857093668447,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
28,ACB,0.0333333333,True,0.00013139057965708047,4.477187438761687e-06,8.60898147395095e-06,1.2494466378298874e-05,2.4999999974999997e-05,4.999999995e-06,0.000126971214978092,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
29,SSB,0.0333333333,True,-8.847652557831e-05,-1.8771180039442448e-05,-3.788775348245732e-05,-5.706720984730018e-05,2.4999999974999997e-05,4.999999995e-06,-0.00023220266891750994,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
30,SAB,0.0333333333,True,-0.00023185776861319655,-3.151911018629827e-05,-6.31076761849203e-05,-9.519668474469722e-05,2.4999999974999997e-05,4.999999995e-06,-0.00045168123969911234,eligible,False,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
