instance_id,track_target,status_target,polished_best_true_objective_target,polished_best_feasible_target,j_no_action_target,improvement_scale_target,target_regime_target,final_target,track_baseline,status_baseline,polished_best_true_objective_baseline,polished_best_feasible_baseline,j_no_action_baseline,improvement_scale_baseline,target_regime_baseline,final_baseline,uplift,uplift_normalized,comparison,target
c01_normal_20240222_banking_concentrated,qaoa,OK,1.211222690888393,True,1.705472386378514,0.494249695490121,normal,1.211222690888393,classical_true,OK,1.2118115347180198,True,1.705472386378514,0.494249695490121,normal,1.2118115347180198,0.0005888438296268728,0.0011913893625021819,qaoa_vs_classical_true,qaoa
c02_volatile_20240102_high_volatility,qaoa,OK,1.3288236703132834,True,1.8490127913929046,0.5201891210796212,volatile,1.3288236703132834,classical_true,OK,1.3288236703132834,True,1.8490127913929046,0.5201891210796212,volatile,1.3288236703132834,0.0,0.0,qaoa_vs_classical_true,qaoa
c03_stress_20250408_high_cash,qaoa,OK,0.8659936772869996,True,1.1453970398815865,0.27940336259458687,stress,0.8659936772869996,classical_true,OK,0.8659936772869996,True,1.1453970398815865,0.27940336259458687,stress,0.8659936772869996,0.0,0.0,qaoa_vs_classical_true,qaoa
c04_normal_20240321_do_not_sell,qaoa,OK,1.1947637678328034,True,1.3162001595726194,0.12143639173981602,normal,1.1947637678328034,classical_true,OK,1.1947637678328034,True,1.3162001595726194,0.12143639173981602,normal,1.1947637678328034,0.0,0.0,qaoa_vs_classical_true,qaoa
c05_volatile_20240415_liquidity_constrained,qaoa,OK,1.2591453019578216,True,1.3960039170998229,0.13685861514200126,volatile,1.2591453019578216,classical_true,OK,1.2591453019578216,True,1.3960039170998229,0.13685861514200126,volatile,1.2591453019578216,0.0,0.0,qaoa_vs_classical_true,qaoa
c06_stress_20250509_diversified,qaoa,OK,0.9907752819218852,True,1.3648950661997814,0.37411978427789616,stress,0.9907752819218852,classical_true,OK,0.9907752819218852,True,1.3648950661997814,0.37411978427789616,stress,0.9907752819218852,0.0,0.0,qaoa_vs_classical_true,qaoa
c07_normal_20250311_banking_concentrated,qaoa,OK,1.1715554339130745,True,1.6544631316383933,0.48290769772531905,normal,1.1715554339130745,classical_true,OK,1.1716395491347973,True,1.6544631316383933,0.48290769772531905,normal,1.1716395491347973,8.41152217228025e-05,0.0001741848848527732,qaoa_vs_classical_true,qaoa
c09_stress_20250408_do_not_sell,qaoa,OK,1.0331563393410574,True,1.1382224729774164,0.10506613363635897,stress,1.0331563393410574,classical_true,OK,1.0331563393410574,True,1.1382224729774164,0.10506613363635897,stress,1.0331563393410574,0.0,0.0,qaoa_vs_classical_true,qaoa
c10_normal_20250708_do_not_sell,qaoa,OK,1.4561127542633252,True,1.6275326866931152,0.17141993242979003,normal,1.4561127542633252,classical_true,OK,1.4561127542633252,True,1.6275326866931152,0.17141993242979003,normal,1.4561127542633252,0.0,0.0,qaoa_vs_classical_true,qaoa
c12_stress_20250509_banking_concentrated,qaoa,OK,0.8944696107717903,True,1.3182767277502734,0.42380711697848306,stress,0.8944696107717903,classical_true,OK,0.8954976567756145,True,1.3182767277502734,0.42380711697848306,stress,0.8954976567756145,0.0010280460038242234,0.0024257403017524546,qaoa_vs_classical_true,qaoa
c13_normal_20250805_banking_concentrated,qaoa,OK,1.4299665041927965,True,1.928195257768965,0.49822875357616847,normal,1.4299665041927965,classical_true,OK,1.4301368285137963,True,1.928195257768965,0.49822875357616847,normal,1.4301368285137963,0.0001703243209998373,0.0003418596774619881,qaoa_vs_classical_true,qaoa
c15_stress_20250408_liquidity_constrained,qaoa,OK,0.951592031876495,True,1.0360964103899213,0.08450437851342629,stress,0.951592031876495,classical_true,OK,0.951592031876495,True,1.0360964103899213,0.08450437851342629,stress,0.951592031876495,0.0,0.0,qaoa_vs_classical_true,qaoa
c16_normal_20250904_do_not_sell,qaoa,OK,1.2867431886479914,True,1.4172933066030726,0.1305501179550812,normal,1.2867431886479914,classical_true,OK,1.2867431886479914,True,1.4172933066030726,0.1305501179550812,normal,1.2867431886479914,0.0,0.0,qaoa_vs_classical_true,qaoa
c18_stress_20250509_high_volatility,qaoa,OK,1.032332809050596,True,1.4565255581667746,0.42419274911617855,stress,1.032332809050596,classical_true,OK,1.032332809050596,True,1.4565255581667746,0.42419274911617855,stress,1.032332809050596,0.0,0.0,qaoa_vs_classical_true,qaoa
c19_normal_20251002_banking_concentrated,qaoa,OK,1.2902932872323971,True,1.7730936788886833,0.48280039165628597,normal,1.2902932872323971,classical_true,OK,1.2907836383061209,True,1.7730936788886833,0.48280039165628597,normal,1.2907836383061209,0.0004903510737237493,0.0010156393453649864,qaoa_vs_classical_true,qaoa
c21_normal_20260114_high_cash,qaoa,OK,1.137798054227838,True,1.4352617177169624,0.29746366348912456,normal,1.137798054227838,classical_true,OK,1.137798054227838,True,1.4352617177169624,0.29746366348912456,normal,1.137798054227838,0.0,0.0,qaoa_vs_classical_true,qaoa
c23_normal_20260211_liquidity_constrained,qaoa,OK,1.270195406099627,True,1.392163129872688,0.12196772377306098,normal,1.270195406099627,classical_true,OK,1.270195406099627,True,1.392163129872688,0.12196772377306098,normal,1.270195406099627,0.0,0.0,qaoa_vs_classical_true,qaoa
