instance_id,track_target,status_target,polished_best_true_objective_target,polished_best_feasible_target,j_no_action_target,improvement_scale_target,target_regime_target,final_target,track_baseline,status_baseline,polished_best_true_objective_baseline,polished_best_feasible_baseline,j_no_action_baseline,improvement_scale_baseline,target_regime_baseline,final_baseline,uplift,uplift_normalized,comparison,target
x01_volatile_20230404_diversified,qaoa,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,classical_true,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,0.0,0.0,qaoa_vs_classical_true,qaoa
x02_stress_20230103_banking_concentrated,qaoa,OK,1.1098283035783258,True,1.5788047161661933,0.4689764125878675,stress,1.1098283035783258,classical_true,OK,1.1104945441479837,True,1.5788047161661933,0.4689764125878675,stress,1.1104945441479837,0.0006662405696578055,0.001420627033204956,qaoa_vs_classical_true,qaoa
x03_normal_20230731_high_volatility,qaoa,OK,1.1538188603659174,True,1.659235812097255,0.5054169517313376,normal,1.1538188603659174,classical_true,OK,1.1538188603659174,True,1.659235812097255,0.5054169517313376,normal,1.1538188603659174,0.0,0.0,qaoa_vs_classical_true,qaoa
x04_volatile_20231226_high_cash,qaoa,OK,1.1066087440327173,True,1.4169605005741945,0.3103517565414773,volatile,1.1066087440327173,classical_true,OK,1.1066087440327173,True,1.4169605005741945,0.3103517565414773,volatile,1.1066087440327173,0.0,0.0,qaoa_vs_classical_true,qaoa
x05_stress_20231124_do_not_sell,qaoa,OK,1.1283060037107902,True,1.2350772185310035,0.10677121482021334,stress,1.1283060037107902,classical_true,OK,1.1283060037107902,True,1.2350772185310035,0.10677121482021334,stress,1.1283060037107902,0.0,0.0,qaoa_vs_classical_true,qaoa
x01_volatile_20230404_diversified,qaoa,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,classical_surrogate,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,0.0,0.0,qaoa_vs_classical_surrogate,qaoa
x02_stress_20230103_banking_concentrated,qaoa,OK,1.1098283035783258,True,1.5788047161661933,0.4689764125878675,stress,1.1098283035783258,classical_surrogate,OK,1.111303823617443,True,1.5788047161661933,0.4689764125878675,stress,1.111303823617443,0.0014755200391172174,0.0031462563990694603,qaoa_vs_classical_surrogate,qaoa
x03_normal_20230731_high_volatility,qaoa,OK,1.1538188603659174,True,1.659235812097255,0.5054169517313376,normal,1.1538188603659174,classical_surrogate,OK,1.1538188603659174,True,1.659235812097255,0.5054169517313376,normal,1.1538188603659174,0.0,0.0,qaoa_vs_classical_surrogate,qaoa
x04_volatile_20231226_high_cash,qaoa,OK,1.1066087440327173,True,1.4169605005741945,0.3103517565414773,volatile,1.1066087440327173,classical_surrogate,OK,1.1066087440327173,True,1.4169605005741945,0.3103517565414773,volatile,1.1066087440327173,0.0,0.0,qaoa_vs_classical_surrogate,qaoa
x05_stress_20231124_do_not_sell,qaoa,OK,1.1283060037107902,True,1.2350772185310035,0.10677121482021334,stress,1.1283060037107902,classical_surrogate,OK,1.1283060037107902,True,1.2350772185310035,0.10677121482021334,stress,1.1283060037107902,0.0,0.0,qaoa_vs_classical_surrogate,qaoa
x01_volatile_20230404_diversified,qaoa,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,random_uniform,OK,1.6889075611142397,True,2.1331011416145853,0.46452501166858706,volatile,1.6889075611142397,0.02033143116824143,0.04376821625860436,qaoa_vs_random_uniform,qaoa
x02_stress_20230103_banking_concentrated,qaoa,OK,1.1098283035783258,True,1.5788047161661933,0.4689764125878675,stress,1.1098283035783258,random_uniform,OK,1.1134700092903005,True,1.5788047161661933,0.4689764125878675,stress,1.1134700092903005,0.003641705711974641,0.007765221478579864,qaoa_vs_random_uniform,qaoa
x03_normal_20230731_high_volatility,qaoa,OK,1.1538188603659174,True,1.659235812097255,0.5054169517313376,normal,1.1538188603659174,random_uniform,OK,1.1774018424971509,True,1.659235812097255,0.5054169517313376,normal,1.1774018424971509,0.023582982131233443,0.04666044945751909,qaoa_vs_random_uniform,qaoa
x04_volatile_20231226_high_cash,qaoa,OK,1.1066087440327173,True,1.4169605005741945,0.3103517565414773,volatile,1.1066087440327173,random_uniform,OK,1.1201173136963152,True,1.4169605005741945,0.3103517565414773,volatile,1.1201173136963152,0.013508569663597925,0.04352664155710218,qaoa_vs_random_uniform,qaoa
x05_stress_20231124_do_not_sell,qaoa,OK,1.1283060037107902,True,1.2350772185310035,0.10677121482021334,stress,1.1283060037107902,random_uniform,OK,1.133720994199435,True,1.2350772185310035,0.10677121482021334,stress,1.133720994199435,0.005414990488644911,0.05071582727388594,qaoa_vs_random_uniform,qaoa
x01_volatile_20230404_diversified,qaoa,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,random_stratified,OK,1.6865917065720866,True,2.1331011416145853,0.46452501166858706,volatile,1.6865917065720866,0.018015576626088325,0.03878279139669113,qaoa_vs_random_stratified,qaoa
x02_stress_20230103_banking_concentrated,qaoa,OK,1.1098283035783258,True,1.5788047161661933,0.4689764125878675,stress,1.1098283035783258,random_stratified,OK,1.1117261228874231,True,1.5788047161661933,0.4689764125878675,stress,1.1117261228874231,0.0018978193090972706,0.004046726569093056,qaoa_vs_random_stratified,qaoa
x03_normal_20230731_high_volatility,qaoa,OK,1.1538188603659174,True,1.659235812097255,0.5054169517313376,normal,1.1538188603659174,random_stratified,OK,1.1714335999961556,True,1.659235812097255,0.5054169517313376,normal,1.1714335999961556,0.017614739630238185,0.034851897171034305,qaoa_vs_random_stratified,qaoa
x04_volatile_20231226_high_cash,qaoa,OK,1.1066087440327173,True,1.4169605005741945,0.3103517565414773,volatile,1.1066087440327173,random_stratified,OK,1.1187973127497752,True,1.4169605005741945,0.3103517565414773,volatile,1.1187973127497752,0.01218856871705798,0.03927340013436987,qaoa_vs_random_stratified,qaoa
x05_stress_20231124_do_not_sell,qaoa,OK,1.1283060037107902,True,1.2350772185310035,0.10677121482021334,stress,1.1283060037107902,random_stratified,OK,1.131222435142638,True,1.2350772185310035,0.10677121482021334,stress,1.131222435142638,0.0029164314318479434,0.027314772401520155,qaoa_vs_random_stratified,qaoa
x01_volatile_20230404_diversified,qaoa,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,boltzmann,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,0.0,0.0,qaoa_vs_boltzmann,qaoa
x02_stress_20230103_banking_concentrated,qaoa,OK,1.1098283035783258,True,1.5788047161661933,0.4689764125878675,stress,1.1098283035783258,boltzmann,OK,1.1098283035783258,True,1.5788047161661933,0.4689764125878675,stress,1.1098283035783258,0.0,0.0,qaoa_vs_boltzmann,qaoa
x03_normal_20230731_high_volatility,qaoa,OK,1.1538188603659174,True,1.659235812097255,0.5054169517313376,normal,1.1538188603659174,boltzmann,OK,1.1538188603659174,True,1.659235812097255,0.5054169517313376,normal,1.1538188603659174,0.0,0.0,qaoa_vs_boltzmann,qaoa
x04_volatile_20231226_high_cash,qaoa,OK,1.1066087440327173,True,1.4169605005741945,0.3103517565414773,volatile,1.1066087440327173,boltzmann,OK,1.1066087440327173,True,1.4169605005741945,0.3103517565414773,volatile,1.1066087440327173,0.0,0.0,qaoa_vs_boltzmann,qaoa
x05_stress_20231124_do_not_sell,qaoa,OK,1.1283060037107902,True,1.2350772185310035,0.10677121482021334,stress,1.1283060037107902,boltzmann,OK,1.1283060037107902,True,1.2350772185310035,0.10677121482021334,stress,1.1283060037107902,0.0,0.0,qaoa_vs_boltzmann,qaoa
x01_volatile_20230404_diversified,qaoa,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,classical_true_compute,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,0.0,0.0,qaoa_vs_classical_true_compute,qaoa
x02_stress_20230103_banking_concentrated,qaoa,OK,1.1098283035783258,True,1.5788047161661933,0.4689764125878675,stress,1.1098283035783258,classical_true_compute,OK,1.1098283035783258,True,1.5788047161661933,0.4689764125878675,stress,1.1098283035783258,0.0,0.0,qaoa_vs_classical_true_compute,qaoa
x03_normal_20230731_high_volatility,qaoa,OK,1.1538188603659174,True,1.659235812097255,0.5054169517313376,normal,1.1538188603659174,classical_true_compute,OK,1.1538188603659174,True,1.659235812097255,0.5054169517313376,normal,1.1538188603659174,0.0,0.0,qaoa_vs_classical_true_compute,qaoa
x04_volatile_20231226_high_cash,qaoa,OK,1.1066087440327173,True,1.4169605005741945,0.3103517565414773,volatile,1.1066087440327173,classical_true_compute,OK,1.1066087440327173,True,1.4169605005741945,0.3103517565414773,volatile,1.1066087440327173,0.0,0.0,qaoa_vs_classical_true_compute,qaoa
x05_stress_20231124_do_not_sell,qaoa,OK,1.1283060037107902,True,1.2350772185310035,0.10677121482021334,stress,1.1283060037107902,classical_true_compute,OK,1.1283060037107902,True,1.2350772185310035,0.10677121482021334,stress,1.1283060037107902,0.0,0.0,qaoa_vs_classical_true_compute,qaoa
x01_volatile_20230404_diversified,qaoa,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,random_uniform_compute,OK,1.6775817678344145,True,2.1331011416145853,0.46452501166858706,volatile,1.6775817678344145,0.00900563788841624,0.019386766400516803,qaoa_vs_random_uniform_compute,qaoa
x02_stress_20230103_banking_concentrated,qaoa,OK,1.1098283035783258,True,1.5788047161661933,0.4689764125878675,stress,1.1098283035783258,random_uniform_compute,OK,1.1098283035783258,True,1.5788047161661933,0.4689764125878675,stress,1.1098283035783258,0.0,0.0,qaoa_vs_random_uniform_compute,qaoa
x03_normal_20230731_high_volatility,qaoa,OK,1.1538188603659174,True,1.659235812097255,0.5054169517313376,normal,1.1538188603659174,random_uniform_compute,OK,1.162303293387131,True,1.659235812097255,0.5054169517313376,normal,1.162303293387131,0.008484433021213489,0.0167869973338835,qaoa_vs_random_uniform_compute,qaoa
x04_volatile_20231226_high_cash,qaoa,OK,1.1066087440327173,True,1.4169605005741945,0.3103517565414773,volatile,1.1066087440327173,random_uniform_compute,OK,1.1126772969618328,True,1.4169605005741945,0.3103517565414773,volatile,1.1126772969618328,0.006068552929115567,0.01955378953463255,qaoa_vs_random_uniform_compute,qaoa
x05_stress_20231124_do_not_sell,qaoa,OK,1.1283060037107902,True,1.2350772185310035,0.10677121482021334,stress,1.1283060037107902,random_uniform_compute,OK,1.1296684626725229,True,1.2350772185310035,0.10677121482021334,stress,1.1296684626725229,0.0013624589617327043,0.012760545658554884,qaoa_vs_random_uniform_compute,qaoa
x01_volatile_20230404_diversified,qaoa_transfer,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,classical_true,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,0.0,0.0,qaoa_transfer_vs_classical_true,qaoa_transfer
x02_stress_20230103_banking_concentrated,qaoa_transfer,OK,1.1098283035783258,True,1.5788047161661933,0.4689764125878675,stress,1.1098283035783258,classical_true,OK,1.1104945441479837,True,1.5788047161661933,0.4689764125878675,stress,1.1104945441479837,0.0006662405696578055,0.001420627033204956,qaoa_transfer_vs_classical_true,qaoa_transfer
x03_normal_20230731_high_volatility,qaoa_transfer,OK,1.1538188603659174,True,1.659235812097255,0.5054169517313376,normal,1.1538188603659174,classical_true,OK,1.1538188603659174,True,1.659235812097255,0.5054169517313376,normal,1.1538188603659174,0.0,0.0,qaoa_transfer_vs_classical_true,qaoa_transfer
x04_volatile_20231226_high_cash,qaoa_transfer,SHORTFALL,1.1066087440327173,True,1.4169605005741945,0.3103517565414773,volatile,1.1066087440327173,classical_true,OK,1.1066087440327173,True,1.4169605005741945,0.3103517565414773,volatile,1.1066087440327173,0.0,0.0,qaoa_transfer_vs_classical_true,qaoa_transfer
x05_stress_20231124_do_not_sell,qaoa_transfer,OK,1.1283060037107902,True,1.2350772185310035,0.10677121482021334,stress,1.1283060037107902,classical_true,OK,1.1283060037107902,True,1.2350772185310035,0.10677121482021334,stress,1.1283060037107902,0.0,0.0,qaoa_transfer_vs_classical_true,qaoa_transfer
x01_volatile_20230404_diversified,qaoa_transfer,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,classical_surrogate,OK,1.6685761299459982,True,2.1331011416145853,0.46452501166858706,volatile,1.6685761299459982,0.0,0.0,qaoa_transfer_vs_classical_surrogate,qaoa_transfer
x02_stress_20230103_banking_concentrated,qaoa_transfer,OK,1.1098283035783258,True,1.5788047161661933,0.4689764125878675,stress,1.1098283035783258,classical_surrogate,OK,1.111303823617443,True,1.5788047161661933,0.4689764125878675,stress,1.111303823617443,0.0014755200391172174,0.0031462563990694603,qaoa_transfer_vs_classical_surrogate,qaoa_transfer
