ticker,yahoo_symbol,company_name,first_trading_date,exchange_current,exchange_history,exchange_periods,data_source,notes
ACB,ACB.VN,Ngân hàng Á Châu,2006-11-21,HOSE,HNX→HOSE 2020-12,"[{'exchange': 'HNX', 'until': '2020-11-30'}, {'exchange': 'HOSE', 'from': '2020-12-01'}]",dnse,
CTG,CTG.VN,VietinBank,2009-07-16,HOSE,-,[{'exchange': 'HOSE'}],yahoo,
VCB,VCB.VN,Vietcombank,2009-06-30,HOSE,-,[{'exchange': 'HOSE'}],yahoo,
HPG,HPG.VN,Hoà Phát,2007-11-15,HOSE,-,[{'exchange': 'HOSE'}],yahoo,
VIC,VIC.VN,Vingroup,2007-09-19,HOSE,-,[{'exchange': 'HOSE'}],yahoo,
MWG,MWG.VN,Thế Giới Di Động,2014-07-14,HOSE,-,[{'exchange': 'HOSE'}],yahoo,
VNM,VNM.VN,Vinamilk,2006-01-19,HOSE,-,[{'exchange': 'HOSE'}],yahoo,
FPT,FPT.VN,FPT Corporation,2006-12-13,HOSE,-,[{'exchange': 'HOSE'}],yahoo,
